uti,platform,original_id,description,primary
zoc/01coin,01coin,zoc,01coin@01coin,TRUE
zch/0cash,0cash,zch,0cash@0cash,TRUE
zcn/0chain,ethereum,0xb9ef770b6a5e12e45983c5d80545258aa38f3b78,0chain@0chain,TRUE
zcn/0chain,polygon-pos,0x8bb30e0e67b11b978a5040144c410e1ccddcba30,0chain@0chain,
ome/0-mee,ethereum,0xbd89b8d708809e7022135313683663911826977e,0-mee@O-Mee,TRUE
zrx/0x,ethereum,0xe41d2489571d322189246dafa5ebde1f4699f498,0x@0x,TRUE
zrx/0x,avalanche,0x596fa47043f99a4e0f122243b841e55375cde0d2,0x@0x,
zrx/0x,harmony-shard-0,0x8143e2a1085939caa9cef6665c2ff32f7bc08435,0x@0x,
zrx/0x,energi,0x591c19dc0821704bedaa5bbc6a66fee277d9437e,0x@0x,
zxc/0xcert,ethereum,0x83e2be8d114f9661221384b3a50d24b96a5653f5,0xcert@0xcert,TRUE
oxd/0xdao,fantom,0xc165d941481e68696f43ee6e99bfb2b23e0e3114,0xdao@0xDAO,TRUE
oxd v2/0xdao-v2,fantom,0xc5a9848b9d145965d821aaec8fa32aaee026492d,0xdao-v2@0xDAO V2,TRUE
0xmr/0xmonero,ethereum,0x035df12e0f3ac6671126525f1015e47d79dfeddf,0xmonero@0xMonero,TRUE
0xmr/0xmonero,xdai,0x8c88ea1fd60462ef7004b9e288afcb4680a3c50c,0xmonero@0xMonero,
0xmr/0xmonero,binance-smart-chain,0x22a213852cee93eb6d41601133414d180c5684c2,0xmonero@0xMonero,
0xmr/0xmonero,polygon-pos,0x52ede6bba83b7b4ba1d738df0df713d6a2036b71,0xmonero@0xMonero,
0xmr/0xmonero,fantom,0xab41861399eb56896b24fbaabaa8bce45e4a626b,0xmonero@0xMonero,
0xpad/0xpad,binance-smart-chain,0x94733910a43d412ddad505a8772839aa77ac1b6d,0xpad@0xPAD,TRUE
zrx/0x-wormhole,solana,GJa1VeEYLTRoHbaeqcxfzHmjGCGtZGF3CUqxv9znZZAY,0x-wormhole@0x (Wormhole),TRUE
realt-s-10024-10028-appoline-st-detroit-mi/10024-10028-appoline,ethereum,0xb5d30c28f87acf675ed5b9f343e5fff39ec9942c,"10024-10028-appoline@RealT -10024-10028 Appoline St, Detroit, MI 48227",TRUE
realt-s-10024-10028-appoline-st-detroit-mi/10024-10028-appoline,xdai,0xb5d30c28f87acf675ed5b9f343e5fff39ec9942c,"10024-10028-appoline@RealT -10024-10028 Appoline St, Detroit, MI 48227",
realt-s-10084-grayton-st-detroit-mi/10084-grayton,ethereum,0x92161385c9de8798ad5fb01c0be99ffcbc84dfd8,"10084-grayton@RealT - 10084 Grayton St, Detroit, MI 48224",TRUE
realt-s-10084-grayton-st-detroit-mi/10084-grayton,xdai,0x92161385c9de8798ad5fb01c0be99ffcbc84dfd8,"10084-grayton@RealT - 10084 Grayton St, Detroit, MI 48224",
astro/100-days-ventures,avalanche,0x6d2f5dbf3a7396fce32cfe406aef7a8aff812fbb,100-days-ventures@100 Days Ventures,TRUE
100x/100x-coin,binance-smart-chain,0x016c285d5b918b92aa85ef1e147498badfe30d69,100x-coin@100xCoin,TRUE
realt-s-10604-somerset-ave-detroit-mi/10604-somerset,ethereum,0x8626b38267e4fc0d8c92e0bb86f97acab3f6aa05,"10604-somerset@RealT - 10604 Somerset Ave, Detroit, MI 48224",TRUE
realt-s-10604-somerset-ave-detroit-mi/10604-somerset,xdai,0x8626b38267e4fc0d8c92e0bb86f97acab3f6aa05,"10604-somerset@RealT - 10604 Somerset Ave, Detroit, MI 48224",
