uti,platform,original_id
1inch,,1inch
1inch,bsc,0x111111111117dc0aa78b770fa6a738034120c302
1inch,ethereum,0x111111111117dc0aa78b770fa6a738034120c302
1inch,polygon,0x9c2c5fd7b07e95ee044ddeba0e97a665f142394f
aave,,aave
aave,bsc,0xfb6115445bff7b52feb98650c87f44907e58f802
aave,ethereum,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
aave,polygon,0xd6df932a45c0f255f85145f286ea0b292b21c90b
aca,,aca
ach,,ach
ach,bsc,0xbc7d6b50616989655afd682fb42743507003056d
ach,ethereum,0xed04915c23f00a313a544955524eb7dbd823143d
acm,,acm
ada,,ada
ada,bsc,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47
adx,,adx
adx,bsc,0x6bff4fb161347ad7de4a625ae5aa3a1ca7077819
adx,ethereum,0xade00c28244d5ce17d72e40330b1c318cd12b7c3
adx,polygon,0xc8e36f0a44fbeca89fdd5970439cbe62eb4b5d03
ae,,ae
ae,ethereum,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d
aergo,,aergo
aergo,ethereum,0x91af0fbb28aba7e31403cb457106ce79397fd4e6
agix ,ethereum,0x5b7533812759b45c2b44c19e320ba2cd2681b542
agix,,agix
agld,,agld
agld,ethereum,0x32353a6c91143bfd6c7d363b546e62a9a2489a20
aion,,aion
akt,akash,akt
akt,cosmos,ibc/2181AAB0218EAC24BC9F86BD1364FBBFA3E6E3FCC25E88E3E68C15DC6E752D86
akt,osmosis,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4
alcx,,alcx
alcx,ethereum,0xdbdb4d16eda451d0503b854cf79d55697f90c8df
algo,,algo
alice,,alice
alice,bsc,0xac51066d7bec65dc4589368da368b212745d63e8
alice,ethereum,0xac51066d7bec65dc4589368da368b212745d63e8
alpaca,,alpaca
alpaca,bsc,0x8f0528ce5ef7b51152a59745befdd91d97091d2f
alpha,,alpha
alpha,ethereum,0xa1faa113cbe53436df28ff0aee54275c13b40975
alpine,,alpine
alpine,bsc,0x287880ea252b52b63cc5f40a2d3e5a44aa665a76
amp,,amp
amp,ethereum,0xff20817765cb7f73d4bde2e66e067e58d11095c2
anc,,anc
anc,ethereum,0x0f3adc247e91c3c50bc08721355a41037e89bc20
ankr,,ankr
ankr,bsc,0xf307910a4c7bbc79691fd374889b36d8531b08e3
ankr,ethereum,0x8290333cef9e6d528dd5618fb97a76f268f3edd4
ankr,polygon,0x101a023270368c0d50bffb62780f4afd4ea79c35
ant,,ant
ant,ethereum,0xa117000000f279d81a1d3cc75430faa017fa5a2e
any,,any
any,bsc,0xf68c9df95a18b2a5a5fa1124d79eeeffbad0b6fa
any,ethereum,0xf99d58e463a2e07e5692127302c20a191861b4d6
ape,,ape
ape,ethereum,0x4d224452801aced8b2f0aebe155379bb5d594381
api3,,api3
api3,ethereum,0x0b38210ea11411557c13457d4da7dc6ea731b88a
ar,,ar
ardr,,ardr
ark,,ark
arpa,,arpa
arpa,bsc,0x6f769e65c14ebd1f68817f5f1dcdb61cfa2d6f7e
arpa,ethereum,0xba50933c268f567bdc86e1ac131be072c6b0b71a
arpa,polygon,0xee800b277a96b0f490a1a732e1d6395fad960a26
asr,,asr
ast,,ast
ast,ethereum,0x27054b13b1b798b345b591a4d22e6562d47ea75a
astr,,astr
ata,,ata
ata,ethereum,0xa2120b9e674d3fc3875f415a7df52e382f141225
ata,polygon,0x0df0f72ee0e5c9b7ca761ecec42754992b2da5bf
atm,,atm
atolo,cosmos,ibc/20A7DC8E24709E6F1EE0F4E832C2ED345ADD77425890482A349AE3C43CAC6B2C
atom,bsc,0x0Eb3a705fc54725037CC9e008bDede697f62F335
atom,cosmos,atom
atom,osmosis,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2
auction,,auction
auction,bsc,0x48dc0190df5ece990c649a7a07ba19d3650a9572
auction,ethereum,0xa9b1eb5908cfc3cdf91f9b8b3a74108598009096
audio,,audio
audio,ethereum,0x18aaa7115705e8be94bffebde57af9bfc265b998
auto,,auto
auto,bsc,0xa184088a740c695e156f91f5cc086a06bb78b827
auto,polygon,0x7f426f6dc648e50464a0392e60e1bb465a67e9cf
ava,,ava
ava,bsc,0x13616f44ba82d63c8c0dc3ff843d36a8ec1c05a9
ava,ethereum,0x442b153f6f61c0c99a33aa4170dcb31e1abda1d0
avax,,avax
avax,bsc,0x1ce0c2827e2ef14d5c4f29a091d735a204794041
avax,polygon,0x2c89bbc92bd86f8075d1decc58c7f4e0107f286b
axs,,axs
axs,bsc,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0
axs,ethereum,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b
badger,,badger
badger,ethereum,0x3472a5a71965499acd81997a54bba8d852c6e53d
bake,,bake
bake,bsc,0xe02df9e3e622debdd69fb838bb799e3f168902c5
bal,,bal
bal,ethereum,0xba100000625a3754423978a60c9317c58a424e3d
bal,polygon,0x9a71012b13ca4d3d0cdc72a177df3ef03b0e76a3
band,,band
band,bsc,0xad6caeb32cd2c308980a548bd0bc5aa4306c6c18
band,ethereum,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55
bar,,bar
bat,bat,bat
bcd,,bcd
bch,bitbank,bcc
bch,bitcoincash,bch
bcn,,bcn
bcna,cosmos,ibc/ADBEC1A7AC2FEF73E06B066A1C94DAB6C27924EF7EA3F5A43378150009620284
bcre,cosmos,ibc/835EE9D00C35D72128F195B50F8A89EB83E5011C43EA0AA00D16348E2208FEBB
beam,,beam
bel,,bel
bel,bsc,0x8443f091997f06a61670b735ed92734f5628692f
bel,ethereum,0xa91ac63d040deb1b7a5e4d4134ad23eb0ba07e14
bel,polygon,0x28c388fb1f4fa9f9eb445f0579666849ee5eeb42
beta,,beta
beta,bsc,0xbe1a001fe942f96eea22ba08783140b9dcc09d28
beta,ethereum,0xbe1a001fe942f96eea22ba08783140b9dcc09d28
bico,,bico
bico,ethereum,0xf17e65822b568b3903685a7c9f496cf7656cc6c2
bifi,,bifi
bifi,bsc,0xca3f508b8e4dd382ee878a314789373d80a5190a
bifi,polygon,0xfbdd194376de19a88118e84e279b977f165d01b8
blz,,blz
blz,bsc,0x935a544bf5816e3a7c13db2efe3009ffda0acda2
blz,ethereum,0x5732046a883704404f284ce41ffadd5b007fd668
bnb,bsc,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c
bnb,bsc,bnb
bnt,,bnt
bnt,ethereum,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c
bnx,,bnx
bnx,bsc,0x8c851d1a123ff703bd1f9dabe631b69902df5f97
boba,,boba
boba,boba,0xa18bF3994C0Cc6E3b63ac420308E5383f53120D7
boba,ethereum,0x42bbfa2e77757c645eeaad1655e0911a7553efbc
bond,,bond
bond,ethereum,0x0391d2021f89dc339f60fff84546ea23e337750f
bsw,,bsw
bsw,bsc,0x965f527d9159dce6288a2219db51fc6eef120dd1
btc,bitcoin,btc
btc,bsc,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c
btc,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
btc,polygon,0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6
btcb,bsc,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c
btcst,,btcst
btcst,bsc,0x78650b139471520656b9e7aa7a5e9276814a38e9
btg,,btg
bts,,bts
btsg,cosmos,ibc/E7D5E9D0E9BF8B7354929A817DD28D4D017E745F638954764AA88522A7A409EC
btt,,btt
btt,bsc,0x352cb5e19b12fc216548a2677bd0fce83bae434b
btt,ethereum,0xc669928185dbce49d2230cc9b0979be6dc797957
burger,,burger
burger,bsc,0xae9269f27437f0fcbc232d39ec814844a51d6b8f
busd,,busd
busd,bsc,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56
busd,kava,busd
bzrx,,bzrx
bzrx,ethereum,0x56d811088235f11c8920698a204a5010a788f4b3
c98,,c98
c98,bsc,0xaec945e04baf28b135fa7c640f624f8d90f1c3a6
c98,ethereum,0xae12c5930881c53715b369cec7606b70d8eb229f
cake,bsc,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82
cdt,,cdt
cdt,ethereum,0x177d39ac676ed1c67a2b268ad7f1e58826e5b0af
celo,,celo
celr,,celr
celr,bsc,0x1f9f6a696c6fd109cd3956f45dc709d2b3902163
celr,ethereum,0x4f9254c83eb525f9fcf346490bbb3ed28a81c667
cfx,,cfx
chat,,chat
chess,,chess
chess,bsc,0x20de22029ab63cf9a7cf5feb2b737ca1ee4c82a6
chr,,chr
chr,bsc,0xf9cec8d50f6c8ad3fb6dccec577e05aa32b224fe
chr,ethereum,0x8a2279d4a90b6fe1c4b30fa660cc9f926797baa2
chz,,chz
chz,ethereum,0x3506424f91fd33084466f402d5d97f05f8e3b4af
city,,city
ckb,,ckb
cloak,,cloak
clv,,clv
clv,bsc,0x09e889bb4d5b474f561db0491c38702f367a4e4d
clv,ethereum,0x80c62fe4487e1351b47ba49809ebd60ed085bf52
cmt,,cmt
cmt,ethereum,0xf85feea2fdd81d51177f6b8f35f0e6734ce45f5f
cnd,,cnd
cnd,ethereum,0xd4c435f5b09f855c3317c8524cb1f586e42795fa
cocos,,cocos
